00_20250203133311.jpg>Lux:71836.18,Gas:29818,CO2:2077,Green:3241,Clear:6486,Temp:38.84,Red:2053,Pressure:1006.19,Humidity:42,Blue:2826
00_20250207054427.jpg>Gas:37134,Humidity:57,Blue:0,Red:0,Green:0,Pressure:1006.43,Temp:33.86,Clear:0,Lux:1.02,CO2:625
00_20250203052037.jpg>Pressure:1005.62,Blue:0,Lux:0.85,Temp:35.02,Gas:37101,Red:0,Humidity:0,Clear:0,CO2:899,Green:0
00_20250209063718.jpg>Lux:1.18,Temp:34.27,Humidity:56,Green:0,Red:0,CO2:536,Blue:0,Gas:44241,Clear:0,Pressure:1007.0
00_20250204052646.jpg>Gas:37266,Temp:35.27,Clear:0,Green:0,Blue:0,Lux:0.82,CO2:1157,Red:0,Humidity:52,Pressure:1006.73
00_20250128172622.jpg>Pressure:1007.12,Clear:2063,Humidity:49,Temp:36.19,CO2:16040,Lux:43304.25,Blue:1090,Gas:1604,Green:1170,Red:550
00_20250207113622.jpg>Blue:4004,Red:2400,Humidity:40,Temp:40.74,CO2:781,Gas:35326,Lux:167252.55,Clear:8270,Pressure:1009.01,Green:4495
00_20250207160720.jpg>Gas:35564,Humidity:44,Clear:2539,CO2:791,Pressure:1005.08,Temp:38.0,Green:1322,Lux:30100.74,Blue:1169,Red:841
00_20250209061704.jpg>Temp:34.81,Blue:0,Humidity:54,Clear:0,Gas:40416,Pressure:1006.86,Red:0,Lux:1.15,CO2:799,Green:0
00_20250204052646.jpg>Lux:0.82,Pressure:1006.73,Blue:0,Gas:37266,Green:0,Temp:35.27,CO2:1157,Clear:0,Red:0,Humidity:52
00_20250208172350.jpg>Lux:32796.73,Clear:1862,CO2:721,Green:1029,Blue:936,Pressure:1004.2,Humidity:50,Gas:38848,Red:543,Temp:35.88
00_20250204150939.jpg>Pressure:1005.58,Temp:37.89,Clear:4666,Gas:36364,Humidity:46,Green:2534,Red:1515,Blue:2170,Lux:62398.46,CO2:806
00_20250208100207.jpg>CO2:670,Pressure:1008.77,Green:1625,Blue:1529,Temp:37.3,Humidity:48,Lux:60328.22,Clear:2817,Red:715,Gas:39065
00_20250208213529.jpg>Clear:1,Lux:2.76,CO2:889,Temp:35.25,Humidity:53,Gas:41780,Blue:0,Pressure:1008.16,Red:0,Green:0
00_20250128223824.jpg>Clear:1,CO2:1074,Temp:34.79,Lux:3.67,Red:0,Humidity:54,Pressure:1011.33,Blue:0,Gas:44474,Green:0
00_20250209150924.jpg>Green:2504,Red:1374,Gas:31705,Pressure:1006.23,CO2:2160,Lux:103240.3,Clear:4671,Blue:2234,Temp:36.47,Humidity:50
00_20250208160324.jpg>Clear:3568,Blue:1668,CO2:2554,Red:1125,Humidity:50,Pressure:1005.09,Temp:36.63,Green:1902,Gas:26798,Lux:52870.51
00_20250209143918.jpg>Clear:3939,Red:1113,Green:2159,Blue:1970,Temp:35.31,Pressure:1006.82,CO2:1239,Humidity:54,Gas:38179,Lux:87178.02
00_20250209130858.jpg>Blue:3745,Red:2817,Gas:38528,Humidity:46,CO2:1320,Lux:81050.53,Green:4316,Clear:9392,Pressure:1008.3,Temp:37.55
00_20250130073957.jpg>Pressure:1008.39,CO2:665,Green:219,Blue:208,Red:99,Temp:34.5,Clear:378,Gas:44902,Humidity:52,Lux:8203.64
00_20250207053420.jpg>Clear:0,Temp:33.9,Pressure:1006.15,Gas:38283,Red:0,Green:0,Humidity:57,CO2:554,Blue:0,Lux:0.84
00_20250129204725.jpg>Green:0,Blue:0,Humidity:53,Lux:3.47,Temp:35.2,Clear:1,CO2:2701,Gas:27589,Pressure:1009.42,Red:0
00_20250203220555.jpg>Pressure:1007.36,Clear:4,Blue:1,Temp:36.11,Gas:34178,Humidity:49,CO2:1265,Lux:13.91,Green:2,Red:2
00_20250128210801.jpg>Pressure:1009.83,Humidity:52,CO2:1003,Red:0,Temp:35.07,Gas:42455,Lux:4.17,Green:0,Blue:0,Clear:1
00_20250207083543.jpg>Blue:1423,Pressure:1007.9,Green:1616,Humidity:53,Lux:43312.0,CO2:533,Gas:38564,Red:836,Temp:35.3,Clear:2979
00_20250129083039.jpg>Clear:755,Green:425,Blue:400,Lux:14678.04,Temp:34.84,Gas:47999,Pressure:1009.94,Red:199,CO2:703,Humidity:53
00_20250207060441.jpg>Gas:35868,Pressure:1006.55,Humidity:56,CO2:699,Blue:0,Temp:34.06,Lux:1.02,Clear:0,Green:0,Red:0
00_20250129113122.jpg>Temp:37.37,Gas:44616,Blue:2939,Clear:5636,Pressure:1010.71,CO2:1021,Lux:138693.44,Humidity:45,Green:3160,Red:1502
00_20250128200746.jpg>Clear:1,Gas:39137,Humidity:52,Lux:2.88,Red:0,Green:0,Blue:0,CO2:1552,Pressure:1008.89,Temp:34.9
00_20250208083147.jpg>Clear:2079,Red:551,Green:1113,Blue:1041,Temp:35.0,Pressure:1007.65,CO2:523,Humidity:54,Gas:41656,Lux:33274.4
00_20250128190731.jpg>CO2:908,Gas:43240,Red:29,Pressure:1007.88,Lux:2397.05,Clear:120,Temp:35.08,Blue:70,Green:67,Humidity:52
00_20250207130641.jpg>Temp:45.67,CO2:1443,Pressure:1007.75,Humidity:32,Lux:78113.82,Green:4568,Blue:3931,Clear:10796,Red:3258,Gas:30377
00_20250203120252.jpg>Clear:13473,Pressure:1007.43,Lux:125282.04,Red:4069,Blue:5574,Green:6350,Temp:47.82,CO2:2047,Gas:29380,Humidity:28
00_20250203180434.jpg>Humidity:45,Blue:640,Green:691,CO2:5937,Clear:1241,Pressure:1004.22,Temp:37.26,Gas:13225,Red:347,Lux:24101.8
00_20250204185108.jpg>Clear:279,Red:71,Green:154,Blue:153,Temp:36.41,Pressure:1005.84,CO2:642,Humidity:51,Gas:36207,Lux:5353.91
00_20250207223938.jpg>Gas:32589,Pressure:1008.51,Temp:35.43,Red:1,Clear:3,Green:1,Lux:10.32,Blue:1,CO2:1096,Humidity:53
00_20250129010838.jpg>Pressure:1010.79,Red:0,Clear:0,Temp:34.84,Gas:43735,Lux:1.18,Blue:0,Humidity:54,CO2:1146,Green:0
00_20250128171614.jpg>Green:1183,CO2:1101,Pressure:1007.02,Red:560,Lux:41331.85,Temp:36.05,Gas:43152,Clear:2100,Blue:1100,Humidity:49
00_20250209064725.jpg>Pressure:1007.12,Green:0,Blue:0,Humidity:55,CO2:1024,Lux:1.8,Gas:39101,Clear:0,Red:0,Temp:34.59
00_20250129064003.jpg>Clear:0,Red:0,Humidity:53,Blue:0,Pressure:1008.75,Green:0,Temp:34.44,CO2:1128,Gas:42714,Lux:1.19
00_20250209183043.jpg>Red:173,Green:336,Pressure:1006.08,Clear:611,Lux:12382.53,Humidity:52,CO2:567,Blue:309,Gas:47645,Temp:35.18
00_20250209170951.jpg>Red:517,Humidity:53,CO2:1467,Clear:1864,Temp:35.73,Lux:43357.09,Gas:34742,Green:1028,Blue:958,Pressure:1005.47
00_20250204110848.jpg>Red:4802,CO2:1073,Green:8114,Lux:195743.53,Clear:16140,Temp:42.74,Gas:34800,Humidity:37,Pressure:1008.63,Blue:6897
00_20250203140318.jpg>Green:2043,Blue:1889,Gas:36427,Temp:38.84,Pressure:1005.76,CO2:1268,Lux:58162.9,Humidity:41,Clear:3980,Red:1114
00_20250208210522.jpg>CO2:661,Lux:2.91,Humidity:52,Green:0,Red:0,Pressure:1007.59,Temp:35.23,Clear:1,Blue:0,Gas:44381
00_20250128143532.jpg>Humidity:46,CO2:1730,Blue:3393,Lux:143243.61,Clear:6639,Pressure:1008.16,Green:3712,Temp:37.55,Red:1833,Gas:37003
00_20250203170356.jpg>Pressure:1003.61,CO2:1542,Green:1221,Blue:1100,Temp:37.33,Lux:31911.62,Humidity:42,Red:711,Gas:37733,Clear:2304
00_20250129020840.jpg>Lux:0.8,Blue:0,Green:0,Humidity:54,Red:0,CO2:1174,Temp:34.79,Clear:0,Gas:44241,Pressure:1010.14
00_20250128153546.jpg>Temp:36.55,Clear:3997,Green:2257,Pressure:1007.55,CO2:639,Gas:48950,Blue:2069,Lux:83871.4,Humidity:48,Red:1079
00_20250203133311.jpg>Pressure:1006.19,Green:3241,Red:2053,Lux:71836.18,Gas:29818,CO2:2077,Humidity:42,Temp:38.84,Blue:2826,Clear:6486
00_20250208020953.jpg>Lux:0.86,Red:0,Humidity:55,Pressure:1007.55,Blue:0,Temp:34.8,CO2:647,Gas:37069,Green:0,Clear:0
00_20250209143918.jpg>Red:1113,Blue:1970,Gas:38179,Pressure:1006.82,Lux:87178.02,Temp:35.31,Clear:3939,Humidity:54,CO2:1239,Green:2159
00_20250130073957.jpg>Temp:34.5,Humidity:52,Clear:378,Gas:44902,Lux:8203.64,Red:99,Pressure:1008.39,Blue:208,Green:219,CO2:665
00_20250128223824.jpg>Gas:44474,Clear:1,Pressure:1011.33,Humidity:54,Lux:3.67,Blue:0,Temp:34.79,CO2:1074,Red:0,Green:0
00_20250207190849.jpg>Pressure:1005.75,Humidity:50,Gas:28237,Green:60,Clear:109,CO2:1681,Lux:2197.28,Red:23,Temp:36.93,Blue:65
00_20250208130246.jpg>Blue:4598,Clear:11815,CO2:851,Lux:134461.53,Temp:38.47,Gas:37632,Humidity:44,Pressure:1008.26,Green:5329,Red:3567
00_20250204184102.jpg>Pressure:1005.72,Red:120,Temp:36.53,Gas:32339,CO2:1326,Green:252,Clear:452,Blue:238,Humidity:51,Lux:8625.75
00_20250130021812.jpg>Green:0,CO2:690,Humidity:51,Red:0,Pressure:1008.75,Blue:0,Clear:0,Gas:41288,Temp:34.85,Lux:0.68
00_20250130054850.jpg>Humidity:52,CO2:1168,Blue:0,Temp:34.49,Clear:0,Lux:1.03,Pressure:1007.65,Green:0,Gas:42031,Red:0
00_20250203213547.jpg>Clear:3,Red:1,Green:1,Blue:1,Temp:36.43,Pressure:1007.07,CO2:3006,Humidity:47,Gas:22768,Lux:10.7
00_20250129120129.jpg>Humidity:42,Green:4650,Lux:166076.28,CO2:1058,Red:2380,Blue:4240,Pressure:1010.75,Clear:8532,Gas:44522,Temp:38.47
00_20250203065140.jpg>Humidity:55,Green:0,Clear:0,Lux:3.09,Blue:0,CO2:1938,Pressure:1006.11,Red:0,Gas:31492,Temp:34.84
00_20250203183453.jpg>Red:167,Green:355,Humidity:48,Blue:336,Clear:630,CO2:5627,Temp:36.99,Lux:12543.31,Gas:17527,Pressure:1004.4
00_20250130055858.jpg>Humidity:52,Red:0,Blue:0,Temp:34.37,Lux:1.01,Pressure:1007.79,Gas:38956,CO2:1500,Clear:0,Green:0
00_20250208213529.jpg>Humidity:53,Red:0,Lux:2.76,Gas:41780,Pressure:1008.16,Blue:0,Clear:1,Green:0,CO2:889,Temp:35.25
00_20250209030601.jpg>Red:0,Clear:0,Blue:0,CO2:839,Humidity:56,Temp:34.59,Lux:0.63,Green:0,Gas:39357,Pressure:1007.59
00_20250203090213.jpg>Gas:33739,Pressure:1007.51,Lux:86072.93,Temp:36.59,Red:1307,Blue:2417,Clear:4724,CO2:1461,Humidity:51,Green:2702
